name	log2FC	pvalue	qvalue	n.control	n.alt	mean_length.control	mean_length.alt
ENST00000356455	-0.015445877	0.231966547	0.766290049	464	712	817.9159483	809.3974719
ENST00000356457	-0.300165322	0.119895809	0.665713404	313	247	2143.514377	1890.607287
ENST00000356464	-0.031630116	0.09337141	0.625131354	2277	3045	532.8181818	518.7888342
ENST00000356487	-0.092257594	0.242878862	0.773971335	1349	1635	1802.197183	1744.305199
ENST00000356488	-0.011689277	0.981018496	0.995774436	25	27	1198.64	1217
ENST00000356489	0.038306324	0.848696988	0.969831139	20	19	1222.1	1291.421053
ENST00000356493	-0.022256477	0.336655901	0.825188157	696	707	1207.551724	1194.152758
ENST00000356501	-0.312157716	0.286467744	0.803945188	13	14	1087.846154	886.5
ENST00000356508	-0.027967481	0.904105764	0.981546697	60	88	1244.6	1244.727273
ENST00000356509	-0.068753863	0.706795198	0.939896007	41	60	910.7073171	867.65
ENST00000356521	-0.308223618	0.126071522	0.674245021	29	30	1219.62069	1090.266667
ENST00000356527	0.117191473	0.483949607	0.881589135	53	57	1489.283019	1616.754386
ENST00000356537	-0.16850748	0.154256202	0.703162612	169	209	1448.609467	1332.856459
ENST00000356542	-0.267149361	0.402859348	0.852779046	10	13	765.2	681.6923077
ENST00000356554	-0.616992303	0.030972134	0.458499628	74	74	2061.351351	1482.864865
ENST00000356575	-0.32336679	0.250996814	0.780338087	27	19	2402.148148	1936.473684
ENST00000356577	-0.415922652	0.082399871	0.605706087	149	132	2616.496644	2284.5
ENST00000356607	-0.074107566	0.615746877	0.919939699	158	150	926.5316456	895.4466667
ENST00000356613	0.158566322	0.662199586	0.929337472	13	74	1522.461538	1817.716216
ENST00000356628	-0.542166959	0.070864836	0.581053185	33	25	1760.363636	1267.6
ENST00000356634	-0.070170351	0.666779624	0.929675265	285	278	1566.161404	1507.647482
ENST00000356638	-0.258964802	0.411650097	0.855535608	28	47	1581.214286	1188.340426
ENST00000356644	-0.612587663	0.10751537	0.649037645	13	11	2153.153846	1572.272727
ENST00000356648	-0.077713858	0.345528558	0.830362311	96	127	591.2916667	556.4645669
ENST00000356654	0.077863964	0.770779993	0.953064566	124	138	1551.387097	1724.318841
ENST00000356657	-0.086896644	0.341147237	0.827235191	477	484	1103.236897	1039.917355
ENST00000356660	0.005035755	0.984957812	0.996138642	21	17	1620.285714	1685.705882
ENST00000356661	-0.074052208	0.620189388	0.920529595	57	58	1344.105263	1244.844828
ENST00000356663	0.011477958	0.969254189	0.993817095	197	233	1809.258883	1872.55794
ENST00000356674	-0.112878283	0.302075201	0.810931642	1208	1169	1119.431291	1079.055603
ENST00000356683	-0.413223556	0.208201908	0.747514544	11	19	1355.272727	1107.052632
ENST00000356688	-0.386657784	0.112755222	0.655033254	70	66	1956.485714	1596.818182
ENST00000356692	-0.162258989	0.358032742	0.83507155	223	183	1717.376682	1518.021858
ENST00000356698	-0.194451961	0.465678324	0.87460809	36	47	1519.388889	1458.595745
ENST00000356708	-0.075955244	0.147982584	0.699383125	1134	1232	1036.766314	989.7045455
ENST00000356714	0.019959664	0.555403873	0.902581048	144	189	702.7569444	708.2222222
ENST00000356716	-0.090796934	0.761388849	0.951154975	24	19	1532.833333	1543.052632
ENST00000356731	-0.351569211	0.005975439	0.254333493	255	227	1432.65098	1146.568282
ENST00000356736	-0.208807245	0.071280867	0.582052575	141	182	1831.48227	1724.642857
ENST00000356763	-0.291499556	0.134173423	0.685219774	80	73	2333.1625	2068.205479
ENST00000356769	-0.01199882	0.319399759	0.816966344	2212	2574	860.9412297	853.5644911
ENST00000356770	-0.263679101	0.170396555	0.716317101	82	66	2076.987805	1652.454545
ENST00000356786	0.182628743	0.453753971	0.870581547	15	13	852.9333333	868.6923077
ENST00000356797	0.152489635	0.61192441	0.918913214	17	20	746.7647059	819
ENST00000356805	-0.444420261	0.187283844	0.732010521	180	114	2600.633333	2129.22807
ENST00000356818	-0.846775976	0.011840271	0.334737194	18	12	2004.5	1262.083333
ENST00000356824	-0.550713644	0.022541979	0.417613117	42	29	2251.571429	1720.413793
ENST00000356825	-0.266551824	0.051760221	0.531356847	72	68	1333.236111	1088.794118
ENST00000356834	-0.140785302	0.676054312	0.932741343	119	118	2282.12605	2183.59322
ENST00000356836	-0.146964612	0.637965872	0.925514996	41	55	1181.804878	1177.945455
ENST00000356839	-0.134933825	0.527565623	0.894346178	283	301	1752.144876	1693.498339
ENST00000356853	-0.213899884	0.159327538	0.705072967	67	50	1767.835821	1521.86
ENST00000356860	-0.341726969	0.0857282	0.612397705	85	87	2080.635294	1766.701149
ENST00000356861	0.138605545	0.730388687	0.944847483	19	28	1383.789474	1491.214286
ENST00000356884	-0.139274611	0.543206048	0.899950101	41	42	1322.585366	1357.857143
ENST00000356889	0.274683123	0.621246835	0.920670917	17	23	1706.529412	1897.782609
ENST00000356891	-0.123258983	0.275803778	0.798888792	123	133	1416.650407	1301.842105
ENST00000356917	-0.197715578	0.353882875	0.833863594	15	18	1303.133333	1189.222222
ENST00000356924	0.027139061	0.900578804	0.980617656	38	44	1540.631579	1593.227273
ENST00000356940	-0.147769656	0.067525486	0.572356751	150	153	1531.88	1368.281046
ENST00000356948	-0.092881382	0.470558604	0.874971718	380	366	1909.118421	1867.745902
ENST00000356950	-0.004099723	0.965744794	0.993669441	47	50	769.3404255	771.78
ENST00000356955	-0.042302578	0.85814044	0.971984127	37	43	1774.513514	1791.651163
ENST00000356956	-0.378201953	0.244907024	0.775415296	190	110	2209.763158	1781.718182
ENST00000356957	-0.448973668	0.009935083	0.311368098	75	57	1948.68	1520.333333
ENST00000356970	-0.514647702	0.006395689	0.262847199	52	55	2120.230769	1629.909091
ENST00000356976	-0.1921398	0.462673468	0.874176918	57	60	1400.789474	1302.95
ENST00000356978	-0.125544767	0.012316999	0.338072632	1024	1016	1328.918945	1252.272638
ENST00000356990	0.121047822	0.555977567	0.90262883	37	24	1765.162162	1924.916667
ENST00000356994	0.094608152	0.710821769	0.940720141	191	226	1484.806283	1691.641593
ENST00000357008	-0.211769149	0.387640964	0.847226701	170	103	2107.194118	1967.728155
ENST00000357022	0.617656498	0.187639806	0.732010521	6	11	505.8333333	662.7272727
ENST00000357028	-0.182422472	0.420631417	0.858698958	19	23	798.7894737	684.5217391
ENST00000357037	-0.136545672	0.534156553	0.897327211	957	816	1650.007315	1637.453431
ENST00000357039	-0.163852419	0.090295488	0.622206944	135	136	1452.511111	1316.375
ENST00000357043	-0.172457786	0.536800743	0.898139317	21	28	1399.285714	1305.928571
ENST00000357052	-0.119653074	0.388036917	0.847226701	29	29	1015.689655	972.2413793
ENST00000357055	0.08434543	0.786960562	0.957167963	14	12	1390.285714	1614
ENST00000357063	-0.087064529	0.685067076	0.935616272	92	74	1602.597826	1548.756757
ENST00000357065	-0.029683725	0.81281367	0.962308228	294	229	1670.761905	1602.772926
ENST00000357066	-0.075874615	0.767402386	0.952154778	33	25	1845.060606	1601.76
ENST00000357067	-0.172623384	0.048048055	0.520157426	136	162	1575.294118	1432.364198
ENST00000357071	-0.057944752	0.864008841	0.973165038	15	14	1133.933333	1135.071429
ENST00000357082	-0.204058575	0.484597119	0.881589135	8	11	1193.75	1063.727273
ENST00000357085	0.012221671	0.958352373	0.992869319	31	30	1540.870968	1504.466667
ENST00000357086	-0.631428098	0.049716121	0.523721389	27	24	2289.555556	1621.75
ENST00000357103	-0.339479608	0.000795476	0.106978457	210	195	2111.038095	1780.035897
ENST00000357105	0.067402254	0.871974833	0.974892435	16	23	1441.1875	1426
ENST00000357115	-0.519835783	0.087876151	0.615959838	42	54	2831.880952	2463.018519
ENST00000357119	-0.699079131	0.295738859	0.806893402	12	20	622.5833333	543.05
ENST00000357121	-0.399798671	0.238884584	0.770733704	33	31	1955.181818	1585.709677
ENST00000357137	-0.212479813	0.463315604	0.874176918	19	25	1516.315789	1309
ENST00000357146	-0.199417152	0.296159015	0.807027682	51	66	944.7843137	828.5909091
ENST00000357156	-0.031470945	0.037022667	0.480416617	424	523	714.7830189	700.1414914
ENST00000357157	-0.290221574	0.178012901	0.723114375	34	45	1112.882353	960.9777778
ENST00000357164	-0.033444982	0.85916542	0.971984127	119	120	1179.579832	1205.541667
ENST00000357166	0.085828791	0.490934876	0.883046422	142	145	1659.971831	1782.965517
ENST00000357172	-0.191192467	0.49513805	0.885168706	63	54	1549.888889	1362.777778
ENST00000357179	-0.158463757	0.546084532	0.900404152	18	38	2095.5	1869.394737
ENST00000357182	-0.120691935	0.714115835	0.941277751	15	24	1381.666667	1296.875
ENST00000357197	-0.111237548	0.503945577	0.888478252	73	53	1177.315068	1111.735849
ENST00000357203	0.049755626	0.889285081	0.978112842	7	11	1760.142857	1856.454545
ENST00000357214	-0.118767971	0.439484155	0.865914626	1138	1203	1474.101933	1429.693267
ENST00000357227	-0.111321667	0.686822136	0.936245432	230	245	1828.882609	1821.346939
ENST00000357235	-0.138072335	0.402246866	0.852597377	44	39	993.4545455	883.6410256
ENST00000357248	-0.339802384	0.325353455	0.820589749	17	19	1692.470588	1303.842105
ENST00000357266	-0.264961798	0.384746028	0.846238291	26	22	2070	1906.090909
ENST00000357275	-0.177150497	0.50774578	0.889399052	9	13	864	754.9230769
ENST00000357276	-0.085296515	0.822683671	0.964821853	65	55	1949.338462	1951.581818
ENST00000357304	-0.528299909	0.272094714	0.796464467	130	106	2561.053846	2052.858491
ENST00000357308	-0.216448776	0.423425896	0.859422858	41	55	1913.439024	1666.218182
ENST00000357311	-0.293823122	0.310922594	0.813813752	39	38	1749.487179	1518.421053
ENST00000357324	-0.108195974	0.538670663	0.898516342	64	88	2765.859375	2684.261364
ENST00000357325	-0.09884415	0.444691137	0.86715065	2488	2510	1446.411576	1397.803984
ENST00000357332	-0.011845484	0.919048831	0.984155281	224	228	1088.705357	1104.907895
ENST00000357337	-0.473233868	0.142993231	0.694940606	52	23	2579.269231	1767.652174
ENST00000357348	-0.19630882	0.037275322	0.481458485	263	284	1334.585551	1206.383803
ENST00000357355	-0.164857631	0.44254336	0.866365128	350	384	1456.014286	1338.734375
ENST00000357360	-0.046600501	0.15238634	0.701423915	418	528	676.0717703	656.3617424
ENST00000357365	-0.064631717	0.483330025	0.881484253	191	213	1420.921466	1373.234742
ENST00000357376	-0.265451308	0.041553774	0.495548651	62	61	954.4354839	802.6885246
ENST00000357385	-0.293426662	0.126734889	0.674923859	20	21	973.1	684.8095238
ENST00000357387	-0.29518946	0.052141906	0.532271222	101	146	1953.821782	1670.89726
ENST00000357388	-0.185789525	0.279274663	0.800302393	227	217	2350.621145	2255.368664
ENST00000357394	-0.086279107	0.459080547	0.873488028	559	722	1167.844365	1124.001385
ENST00000357402	-0.111095555	0.812338069	0.962283134	91	119	1378.032967	1418.310924
ENST00000357429	-0.146837019	0.018030867	0.388926343	299	366	1192.424749	1106.256831
ENST00000357430	-0.129904019	0.361485399	0.836143066	304	311	2039.470395	1897.14791
ENST00000357440	-0.017854415	0.901985909	0.980772459	20	17	2307.8	2224.941176
ENST00000357460	0.15409774	0.665440178	0.929651432	18	38	1378.944444	1464.578947
ENST00000357466	-0.098108879	0.229401354	0.765415839	60	97	541.0666667	520.5257732
