sample	transcript	read_length
Treatment_3_demo	ENST00000360971	1606
Treatment_3_demo	ENST00000494857	2516
Treatment_3_demo	ENST00000494857	1000
Treatment_3_demo	ENST00000494857	546
Treatment_3_demo	ENST00000621744	2896
Treatment_3_demo	ENST00000621744	455
Treatment_3_demo	ENST00000413371	2893
Treatment_3_demo	ENST00000413371	1617
Treatment_3_demo	ENST00000413371	752
Treatment_3_demo	ENST00000413371	565
Treatment_3_demo	ENST00000413371	333
Treatment_3_demo	ENST00000308497	4362
Treatment_3_demo	ENST00000308497	529
Treatment_3_demo	ENST00000314250	3153
Treatment_3_demo	ENST00000314250	2984
Treatment_3_demo	ENST00000314250	1787
Treatment_3_demo	ENST00000314250	956
Treatment_3_demo	ENST00000314250	671
Treatment_3_demo	ENST00000314250	273
Treatment_3_demo	ENST00000597937	2131
Treatment_3_demo	ENST00000597937	1704
Treatment_3_demo	ENST00000597937	673
Treatment_3_demo	ENST00000405442	230
Treatment_3_demo	ENST00000405442	678
Treatment_3_demo	ENST00000405442	1429
Treatment_3_demo	ENST00000405442	1314
Treatment_3_demo	ENST00000405442	349
